timestamp,src_ip,src_port,dst_ip,dst_port,protocol,bytes,flags
2024-01-01 08:00:00,10.0.0.5,49152,192.168.1.10,80,HTTP,1200,
2024-01-01 08:00:01,10.0.0.7,49153,192.168.1.10,443,HTTPS,2200,
2024-01-01 08:00:02,10.0.0.5,49154,192.168.1.10,80,HTTP,980,
2024-01-01 08:00:03,10.0.0.7,49155,192.168.1.10,443,HTTPS,2100,
2024-01-01 08:00:04,10.0.0.5,49156,192.168.1.10,80,HTTP,1100,
2024-01-01 08:00:05,10.0.0.7,49157,192.168.1.10,443,HTTPS,2050,
2024-01-01 08:00:06,10.0.0.5,49158,192.168.1.10,80,HTTP,1300,
2024-01-01 08:00:07,10.0.0.7,49159,192.168.1.10,443,HTTPS,2150,
# ---- background noise: an SSH maintenance window, many small keeps in a burst ----
2024-01-01 08:00:08,10.0.1.20,22,192.168.1.10,49152,SSH,2600,SYN
2024-01-01 08:00:09,10.0.1.20,22,192.168.1.10,49153,SSH,2600,SYN
2024-01-01 08:00:10,10.0.1.20,22,192.168.1.10,49154,SSH,2600,SYN
# ---- a single host probes many destination ports (port scan) ----
2024-01-01 08:00:11,10.0.0.66,40100,192.168.1.10,21,TCP,64,SYN
2024-01-01 08:00:12,10.0.0.66,40101,192.168.1.10,22,TCP,64,SYN
2024-01-01 08:00:13,10.0.0.66,40102,192.168.1.10,23,TCP,64,SYN
2024-01-01 08:00:14,10.0.0.66,40103,192.168.1.10,25,TCP,64,SYN
2024-01-01 08:00:15,10.0.0.66,40104,192.168.1.10,53,TCP,64,SYN
2024-01-01 08:00:16,10.0.0.66,40105,192.168.1.10,80,TCP,64,SYN
2024-01-01 08:00:17,10.0.0.66,40106,192.168.1.10,110,TCP,64,SYN
2024-01-01 08:00:18,10.0.0.66,40107,192.168.1.10,143,TCP,64,SYN
2024-01-01 08:00:19,10.0.0.66,40108,192.168.1.10,443,TCP,64,SYN
2024-01-01 08:00:20,10.0.0.66,40109,192.168.1.10,445,TCP,64,SYN
2024-01-01 08:00:21,10.0.0.66,40110,192.168.1.10,3306,TCP,64,SYN
2024-01-01 08:00:22,10.0.0.66,40111,192.168.1.10,3389,TCP,64,SYN
2024-01-01 08:00:23,10.0.0.66,40112,192.168.1.10,5432,TCP,64,SYN
2024-01-01 08:00:24,10.0.0.66,40113,192.168.1.10,6379,TCP,64,SYN
2024-01-01 08:00:25,10.0.0.66,40114,192.168.1.10,8080,TCP,64,SYN
2024-01-01 08:00:26,10.0.0.66,40115,192.168.1.10,8443,TCP,64,SYN
# ---- a connection flood (SYN burst from one source) ----
2024-01-01 08:00:27,10.0.2.90,50001,192.168.1.10,80,TCP,60,SYN
2024-01-01 08:00:28,10.0.2.90,50002,192.168.1.10,80,TCP,60,SYN
2024-01-01 08:00:29,10.0.2.90,50003,192.168.1.10,80,TCP,60,SYN
2024-01-01 08:00:30,10.0.2.90,50004,192.168.1.10,80,TCP,60,SYN
2024-01-01 08:00:31,10.0.2.90,50005,192.168.1.10,80,TCP,60,SYN
2024-01-01 08:00:32,10.0.2.90,50006,192.168.1.10,80,TCP,60,SYN
2024-01-01 08:00:33,10.0.2.90,50007,192.168.1.10,80,TCP,60,SYN
2024-01-01 08:00:34,10.0.2.90,50008,192.168.1.10,80,TCP,60,SYN
# ---- a protocol mismatch: RDP handshake on port 80 ----
2024-01-01 08:00:35,10.0.3.15,51000,192.168.1.10,80,RDP,300,SYN
# ---- an outsized transfer from one host (large-transfer outlier) ----
2024-01-01 08:00:36,10.0.4.10,52000,192.168.1.10,8080,HTTP,4200,
2024-01-01 08:00:37,10.0.4.10,52001,192.168.1.10,8080,HTTP,3600,
2024-01-01 08:00:38,10.0.4.10,52002,192.168.1.10,8080,HTTP,980000,
# ---- clean traffic resumes ----
2024-01-01 08:00:39,10.0.0.5,49160,192.168.1.10,80,HTTP,1150,
2024-01-01 08:00:40,10.0.0.7,49161,192.168.1.10,443,HTTPS,2080,
